"sf_no","sf","task_id","start_date","end_date","duration"
3,"sf_3","create_staging_schema ","2022-12-30 00:10:34","2022-12-30 00:10:34",0
3,"sf_3","load_txt_csv_sources_to_staging ","2022-12-30 00:10:36","2022-12-30 00:10:51",15
3,"sf_3","load_finwire_to_staging ","2022-12-30 00:10:36","2022-12-30 00:10:37",1
3,"sf_3","convert_customermgmt_xml_to_csv ","2022-12-30 00:10:36","2022-12-30 00:12:10",94
3,"sf_3","parse_finwire ","2022-12-30 00:10:39","2022-12-30 00:10:49",10
3,"sf_3","load_customer_mgmt_to_staging ","2022-12-30 00:12:12","2022-12-30 00:12:12",0
3,"sf_3","create_master_schema ","2022-12-30 00:12:13","2022-12-30 00:12:14",1
3,"sf_3","transform_load_master_dimcompany ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","transform_load_master_dimdate ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","transform_load_master_dimtime ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","load_master_statustype ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","load_master_taxrate ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","load_master_tradetype ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","load_master_industry ","2022-12-30 00:12:15","2022-12-30 00:12:16",1
3,"sf_3","transform_load_master_dimbroker ","2022-12-30 00:12:17","2022-12-30 00:12:18",1
3,"sf_3","transform_load_master_dimsecurity ","2022-12-30 00:12:17","2022-12-30 00:12:22",5
3,"sf_3","transform_load_master_prospect ","2022-12-30 00:12:17","2022-12-30 00:12:18",1
3,"sf_3","transform_load_master_financial ","2022-12-30 00:12:17","2022-12-30 00:12:50",33
3,"sf_3","load_master_dimessages_dimcompany ","2022-12-30 00:12:17","2022-12-30 00:12:18",1
3,"sf_3","transform_load_master_dimcustomer ","2022-12-30 00:12:20","2022-12-30 00:12:21",1
3,"sf_3","load_master_dimessages_dimcustomer ","2022-12-30 00:12:22","2022-12-30 00:12:22",0
3,"sf_3","update_master_prospect ","2022-12-30 00:12:22","2022-12-30 00:12:23",1
3,"sf_3","transform_load_master_dimaccount ","2022-12-30 00:12:22","2022-12-30 00:12:23",1
3,"sf_3","transform_load_master_factwatches ","2022-12-30 00:12:24","2022-12-30 00:12:38",14
3,"sf_3","transform_load_master_dimtrade ","2022-12-30 00:12:24","2022-12-30 00:12:46",22
3,"sf_3","transform_load_master_factcashbalances ","2022-12-30 00:12:24","2022-12-30 00:12:33",9
3,"sf_3","transform_load_master_factholdings ","2022-12-30 00:12:47","2022-12-30 00:12:49",2
3,"sf_3","load_master_dimessages_dimtrade ","2022-12-30 00:12:47","2022-12-30 00:12:48",1
3,"sf_3","transform_load_master_factmarkethistory ","2022-12-30 00:12:51","2022-12-30 00:14:15",84
3,"sf_3","load_master_dimessages_factmarkethistory ","2022-12-30 00:14:17","2022-12-30 00:14:18",1
5,"sf_5","create_staging_schema ","2022-12-30 01:04:23","2022-12-30 01:04:24",1
5,"sf_5","load_finwire_to_staging ","2022-12-30 01:04:25","2022-12-30 01:04:27",2
5,"sf_5","convert_customermgmt_xml_to_csv ","2022-12-30 01:04:25","2022-12-30 01:08:42",257
5,"sf_5","load_txt_csv_sources_to_staging ","2022-12-30 01:04:25","2022-12-30 01:04:50",25
5,"sf_5","parse_finwire ","2022-12-30 01:04:27","2022-12-30 01:04:45",18
5,"sf_5","load_customer_mgmt_to_staging ","2022-12-30 01:08:44","2022-12-30 01:08:44",0
5,"sf_5","create_master_schema ","2022-12-30 01:08:45","2022-12-30 01:08:46",1
5,"sf_5","transform_load_master_dimtime ","2022-12-30 01:08:47","2022-12-30 01:08:48",1
5,"sf_5","transform_load_master_dimcompany ","2022-12-30 01:08:47","2022-12-30 01:08:48",1
5,"sf_5","load_master_taxrate ","2022-12-30 01:08:47","2022-12-30 01:08:48",1
5,"sf_5","load_master_statustype ","2022-12-30 01:08:48","2022-12-30 01:08:48",0
5,"sf_5","transform_load_master_dimdate ","2022-12-30 01:08:48","2022-12-30 01:08:48",0
5,"sf_5","load_master_tradetype ","2022-12-30 01:08:48","2022-12-30 01:08:48",0
5,"sf_5","load_master_industry ","2022-12-30 01:08:48","2022-12-30 01:08:48",0
5,"sf_5","transform_load_master_prospect ","2022-12-30 01:08:49","2022-12-30 01:08:50",1
5,"sf_5","transform_load_master_dimsecurity ","2022-12-30 01:08:49","2022-12-30 01:09:02",13
5,"sf_5","transform_load_master_dimbroker ","2022-12-30 01:08:49","2022-12-30 01:08:50",1
5,"sf_5","load_master_dimessages_dimcompany ","2022-12-30 01:08:49","2022-12-30 01:08:50",1
5,"sf_5","transform_load_master_financial ","2022-12-30 01:08:49","2022-12-30 01:10:24",95
5,"sf_5","transform_load_master_dimcustomer ","2022-12-30 01:08:52","2022-12-30 01:08:53",1
5,"sf_5","load_master_dimessages_dimcustomer ","2022-12-30 01:08:54","2022-12-30 01:08:54",0
